region,year,exports_usd
América Central,2014,2261098.2
América Central,2015,2312678.17
América Central,2016,2298854.07
América Central,2017,2392832.74
América Central,2018,2417142.09
América Central,2019,2447841.94
América Central,2020,2318627.65
América Central,2021,2921704.44
América Central,2022,3111069.21
América Central,2023,3593338.96
América Central,2024,3731009.12
América Central,2025,4006853.13
América Central,2026*,638328.09
América del Norte,2014,4600234.03
América del Norte,2015,4253563.98
América del Norte,2016,4648490.28
América del Norte,2017,4928045.12
América del Norte,2018,5203802.89
América del Norte,2019,5517247.45
América del Norte,2020,5778780.73
América del Norte,2021,7280045.08
América del Norte,2022,8065365.47
América del Norte,2023,9222310.37
América del Norte,2024,10899595.62
América del Norte,2025,13733664.8
América del Norte,2026*,1716014.29
América del Sur,2014,312724.34
América del Sur,2015,287178.46
América del Sur,2016,266236.04
América del Sur,2017,271018.74
América del Sur,2018,250387.93
América del Sur,2019,211873.4
América del Sur,2020,238361.18
América del Sur,2021,376180.53
América del Sur,2022,422727.17
América del Sur,2023,427393.98
América del Sur,2024,481906.59
América del Sur,2025,442035.29
América del Sur,2026*,64334.23
Asia,2014,1463942.02
Asia,2015,379796.96
Asia,2016,418063.75
Asia,2017,587909.05
Asia,2018,772882.03
Asia,2019,735493.77
Asia,2020,824073.37
Asia,2021,1175230.34
Asia,2022,1172852.27
Asia,2023,1417455.5
Asia,2024,1721661.42
Asia,2025,2183824.91
Asia,2026*,616175.43
Caribe,2014,489011.44
Caribe,2015,470836.04
Caribe,2016,471509.79
Caribe,2017,482007.73
Caribe,2018,473135.7
Caribe,2019,475071.02
Caribe,2020,450791.2
Caribe,2021,569424.67
Caribe,2022,616798.28
Caribe,2023,619305.94
Caribe,2024,620268.52
Caribe,2025,642694.41
Caribe,2026*,100174.12
Medio Oriente,2014,31854.29
Medio Oriente,2015,30996.13
Medio Oriente,2016,37221.43
Medio Oriente,2017,33759.7
Medio Oriente,2018,23835.36
Medio Oriente,2019,35896.92
Medio Oriente,2020,58459.08
Medio Oriente,2021,75022.78
Medio Oriente,2022,85824.43
Medio Oriente,2023,105355.46
Medio Oriente,2024,100689.76
Medio Oriente,2025,161321.75
Medio Oriente,2026*,24944.97
Otros,2014,56485.87
Otros,2015,46511.52
Otros,2016,52215.85
Otros,2017,55068.02
Otros,2018,34644.87
Otros,2019,38211.46
Otros,2020,24428.27
Otros,2021,48180.39
Otros,2022,45994.53
Otros,2023,45507.18
Otros,2024,47069.24
Otros,2025,49923.26
Otros,2026*,7494.76
Resto de Europa,2014,93916.93
Resto de Europa,2015,88953.15
Resto de Europa,2016,110626.94
Resto de Europa,2017,117036.53
Resto de Europa,2018,105574.01
Resto de Europa,2019,121331.5
Resto de Europa,2020,367702.79
Resto de Europa,2021,370078.81
Resto de Europa,2022,339969.7
Resto de Europa,2023,388719.01
Resto de Europa,2024,414986.28
Resto de Europa,2025,426498.17
Resto de Europa,2026*,57057.6
Unión Europea,2014,1965376.4
Unión Europea,2015,1789217.86
Unión Europea,2016,2041712.11
Unión Europea,2017,2192066.36
Unión Europea,2018,2353514.55
Unión Europea,2019,2414540.5
Unión Europea,2020,2249484.83
Unión Europea,2021,2707118.83
Unión Europea,2022,2980948.0
Unión Europea,2023,3417759.95
Unión Europea,2024,3932260.93
Unión Europea,2025,4506125.74
Unión Europea,2026*,661981.28
