Fecha,Tasa de desempleo,PIB a precios de mercado. Variación interanual
2010-12-31,9.21331982,12.34451724
2011-12-31,10.49158235,9.1986314
2012-12-31,9.84909343,9.84734939
2013-12-31,8.3112448,7.19949283
2014-12-31,9.65775131,9.96888624
2015-12-31,9.60360138,7.75174403
2016-12-31,9.54072992,6.24544086
2017-12-31,9.29288412,7.13544647
2018-12-31,11.95143046,5.11370519
2019-12-31,12.41692858,5.34490143
2020-12-31,19.97991663,-3.40198589
2021-12-31,13.6795675,10.83684134
2022-12-31,11.66942938,12.84690837
2023-12-31,7.29740705,3.62127145
2024-12-31,6.87792863,4.63724905
2025-12-31,6.32594085,4.00072532
